City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
Poum,0,MK,1551930724,79,41.28,20.71,22.72,1.72
Dinar,40,TR,1551928800,100,38.07,30.16,46.4,8.05
Aksu,90,KZ,1551927600,86,52.04,76.93,26.6,8.95
Perelyub,68,RU,1551930725,98,51.87,50.37,29.74,17.05
Arraial do Cabo,24,BR,1551930442,88,-22.97,-42.02,80.59,12.8
Belmonte,64,PT,1551930318,92,40.36,-7.35,39.99,3.29
Pionki,0,PL,1551930662,49,51.47,21.44,41.0,13.8
Ambunti,88,PG,1551930726,93,-4.22,142.82,78.92,2.84
Laguna,36,MX,1551930726,57,27.52,-110.01,68.98,2.28
Nizhniy Ingash,68,RU,1551930726,88,56.2,96.53,21.64,4.85
Robertsport,92,LR,1551930726,99,6.75,-11.37,81.31,8.43
Richards Bay,0,ZA,1551930726,93,-28.77,32.06,72.35,10.0
Sale,90,GB,1551930725,80,53.42,-2.32,45.0,9.17
Tarakan,40,ID,1551927600,70,3.3,117.63,87.8,6.93
Dourbali,0,TD,1551930727,25,11.81,15.86,73.79,12.24
Deputatskiy,0,RU,1551930624,67,69.3,139.9,-10.77,3.85
Tuktoyaktuk,75,CA,1551927600,77,69.44,-133.03,3.2,5.82
Nanortalik,88,GL,1551930512,93,60.14,-45.24,31.9,14.7
Ucluelet,80,CA,1551930550,76,48.94,-125.55,39.0,2.17
Thompson,5,CA,1551927600,60,55.74,-97.86,6.8,9.17
Cayenne,90,GF,1551927600,74,4.94,-52.33,80.6,9.17
Vieste,40,IT,1551929656,87,41.88,16.18,55.0,5.82
Aykhal,76,RU,1551930728,69,65.95,111.51,15.43,13.24
Juneau,1,US,1551927360,58,58.3,-134.42,30.2,3.18
Graham,1,US,1551930717,73,36.07,-79.4,32.0,6.2
Santiago de Cuba,40,CU,1551927360,61,20.03,-75.83,78.8,8.05
Camopi,88,GF,1551930728,93,3.17,-52.33,75.05,2.51
Antalaha,76,MG,1551930728,100,-14.9,50.28,74.11,3.74
Thinadhoo,88,MV,1551930729,100,0.53,72.93,82.21,6.64
Dikson,48,RU,1551930448,89,73.51,80.55,1.25,26.78
Rudnichnyy,20,RU,1551930729,70,59.7,60.29,30.46,11.45
Ukiah,90,US,1551930623,93,39.15,-123.21,52.0,2.17
Iqaluit,40,CA,1551930167,68,63.75,-68.52,-18.01,25.28
Akhalgori,0,GE,1551927600,65,42.13,44.48,46.4,19.46
Alvorada,0,BR,1551930666,88,-30.0,-51.08,77.0,2.95
Lompoc,92,US,1551930428,82,34.64,-120.46,55.99,5.82
Palimbang,75,PH,1551930489,62,14.9,120.78,89.6,9.17
Nantucket,20,US,1551930724,31,41.28,-70.1,21.2,19.46
Noumea,20,NC,1551927600,62,-22.28,166.46,87.8,11.41
Longyearbyen,20,NO,1551927000,65,78.22,15.63,5.0,10.29
Spremberg,0,DE,1551930688,65,51.57,14.37,48.99,14.99
San Carlos,36,VE,1551930731,55,9.66,-68.59,83.2,10.0
Tezu,100,IN,1551930731,100,27.93,96.16,47.47,1.16
Mindelo,40,PT,1551930555,87,41.31,-8.72,48.0,4.7
Beringovskiy,88,RU,1551930473,99,63.05,179.32,24.7,18.61
Butler,40,US,1551930900,79,41.43,-84.87,24.8,9.17
Sovetskiy,0,RU,1551930732,75,56.76,48.47,9.4,13.8
Amalfi,64,CO,1551930732,95,6.91,-75.07,71.45,1.39
Itarema,64,BR,1551930732,97,-2.92,-39.92,74.11,5.08
San Patricio,68,PY,1551930732,84,-26.98,-56.83,77.44,4.29
Horsham,0,AU,1551930732,45,-36.71,142.2,67.4,4.85
Baykit,12,RU,1551930733,70,61.68,96.39,8.09,3.96
Gillette,90,US,1551930533,73,44.29,-105.5,19.4,6.93
Sitka,0,US,1551930340,62,37.17,-99.65,37.0,4.0
Luderitz,0,NA,1551930733,92,-26.65,15.16,59.39,11.45
Chokurdakh,0,RU,1551930733,65,70.62,147.9,-8.7,3.96
Katsuura,75,JP,1551929082,58,33.93,134.5,53.6,14.99
Dalvik,92,SE,1551930607,100,57.79,14.13,39.99,12.75
Pisco,75,PE,1551927600,30,-13.71,-76.2,71.6,9.17
Yar-Sale,88,RU,1551930733,89,66.83,70.83,17.86,8.43
Arlit,0,NE,1551930678,44,18.74,7.39,58.49,3.06
Araouane,0,ML,1551930555,30,18.9,-3.53,52.06,2.62
Qaqortoq,75,GL,1551927000,34,60.72,-46.03,35.6,18.34
Saint-Marc,20,HT,1551930734,78,19.1,-72.7,75.5,9.22
Port-Gentil,92,GA,1551930734,99,-0.72,8.78,81.31,0.94
Matara,20,PE,1551930734,91,-13.74,-72.9,39.28,1.95
Fuyang,0,CN,1551930734,52,32.89,115.81,46.39,13.58
Ahuimanu,90,US,1551930645,88,21.44,-157.84,75.2,8.05
Ancud,40,CL,1551927600,87,-41.87,-73.83,53.6,8.05
Bilibino,48,RU,1551930735,77,68.06,166.44,7.87,3.18
Bilma,0,NE,1551930479,23,18.69,12.92,51.88,9.66
Vao,80,EE,1551930735,90,59.1,26.19,24.34,10.0
Ekibastuz,0,KZ,1551930456,86,51.72,75.32,22.18,11.9
Kavieng,44,PG,1551930622,100,-2.57,150.8,83.83,1.16
Hasaki,90,JP,1551930575,81,35.73,140.83,48.2,12.75
Lufilufi,75,WS,1551930187,59,-13.87,-171.6,89.6,8.05
Marsa Matruh,0,EG,1551927600,100,31.35,27.25,46.4,2.24
Coquimbo,0,CL,1551927600,87,-29.95,-71.34,59.0,2.24
Minab,100,IR,1551927600,82,27.15,57.07,60.8,6.93
Fatima,90,MX,1551926640,17,24.03,-104.66,64.4,8.05
Lanzhou,75,CN,1551927600,64,36.06,103.82,39.2,4.47
Lebu,0,ET,1551930736,83,8.96,38.73,41.26,2.62
Dharchula,0,IN,1551930736,79,29.85,80.53,29.69,1.72
Yuanping,0,CN,1551930736,48,38.72,112.71,36.58,3.18
Ballina,88,IE,1551930606,99,54.11,-9.15,45.0,21.74
Usinsk,80,RU,1551930737,85,66.0,57.56,6.47,7.76
East London,0,ZA,1551930737,100,-33.02,27.91,75.37,23.2
Kamaishi,75,JP,1551927600,100,39.28,141.86,39.2,13.87
Vardo,40,US,1551930559,53,39.62,-77.74,24.01,5.75
Esperance,20,TT,1551930608,94,10.24,-61.45,75.2,6.87
Kalemie,80,CD,1551930737,100,-5.95,29.2,74.2,5.64
Iracoubo,44,GF,1551930737,74,5.48,-53.21,78.47,6.08
Sayyan,8,YE,1551930738,93,15.17,44.32,45.8,0.94
Nicoya,20,CR,1551927600,69,10.15,-85.45,78.8,26.4
Quelimane,92,MZ,1551930738,97,-17.88,36.89,74.24,4.18
Ningyang,0,CN,1551930738,42,35.76,116.79,49.09,3.74
Tasiilaq,88,GL,1551927000,57,65.61,-37.64,19.4,25.28
Kulhudhuffushi,92,MV,1551930738,100,6.62,73.07,81.94,4.41
Margate,75,AU,1551930734,37,-43.03,147.26,68.0,14.99
Harper,1,US,1551930736,49,30.3,-99.24,48.0,10.29
Bambanglipuro,92,ID,1551930739,95,-7.95,110.28,79.51,4.18
Fairbanks,90,US,1551930661,92,64.84,-147.72,25.0,2.39
Nemuro,20,JP,1551927600,63,43.32,145.57,28.4,12.75
Awbari,0,LY,1551930739,44,26.59,12.77,45.76,6.76
Gatton,75,AU,1551930665,49,-27.56,152.28,95.0,10.29
Paamiut,80,GL,1551930740,90,61.99,-49.67,33.16,45.45
Meulaboh,24,ID,1551930542,100,4.14,96.13,84.32,3.4
Hambantota,56,LK,1551928200,94,6.12,81.12,82.4,6.93
Tamandare,12,BR,1551930740,95,-8.28,-70.75,75.64,2.51
Zharkent,92,KZ,1551930740,64,44.17,80.0,19.84,2.39
Provideniya,0,RU,1551927600,62,64.42,-173.23,19.4,15.66
Lavrentiya,64,RU,1551930740,100,65.58,-170.99,18.67,8.55
Otane,92,NZ,1551930556,48,-39.89,176.62,78.01,7.0
Balkanabat,0,TM,1551930741,83,39.51,54.36,32.35,3.96
Hami,56,CN,1551930741,55,42.84,93.51,41.84,6.64
Ketchikan,1,US,1551927360,59,55.34,-131.65,41.0,6.93
Merauke,36,ID,1551930741,98,-8.49,140.4,86.26,3.06
Jalu,0,LY,1551930741,79,29.03,21.55,45.22,2.84
Omsukchan,8,RU,1551930741,74,62.53,155.8,-1.81,3.74
Rome,0,IT,1551930648,71,41.89,12.48,55.99,2.24
Pevek,80,RU,1551930741,93,69.7,170.27,3.01,2.62
Buriti dos Lopes,48,BR,1551930742,99,-3.18,-41.87,72.89,2.95
Sydney,75,AU,1551930585,68,-33.85,151.22,73.0,19.46
Novikovo,0,UA,1551930742,100,45.05,34.56,33.07,2.95
Barcelos,40,PT,1551930555,87,41.53,-8.62,46.99,4.7
Pochutla,5,MX,1551930304,74,15.74,-96.47,80.6,4.7
Grand Gaube,20,MU,1551930544,83,-20.01,57.66,80.01,2.24
Umm Lajj,0,SA,1551930742,100,25.02,37.27,58.9,7.31
San Clemente,90,US,1551930739,100,33.43,-117.61,60.8,6.93
Quesnel,92,CA,1551930032,63,52.98,-122.49,26.01,2.62
Mikhaylovka,92,RU,1551930743,87,52.96,103.29,28.57,12.24
Havre-Saint-Pierre,20,CA,1551927600,59,50.23,-63.6,-0.41,8.05
Mehamn,80,NO,1551930743,91,71.03,27.85,24.02,13.69
Birr,68,IE,1551930726,87,53.1,-7.91,41.0,23.31
Marathon,48,CA,1551930744,92,48.72,-86.38,4.85,6.76
Port Blair,20,IN,1551927600,70,11.67,92.75,84.2,6.93
Goderich,68,CA,1551930714,90,43.74,-81.71,18.0,11.45
Astana,75,KZ,1551927600,85,51.13,71.43,21.2,15.66
Poopo,36,BO,1551930744,76,-18.38,-66.97,56.42,5.64
Vestmannaeyjar,0,IS,1551930744,100,63.44,-20.27,23.98,14.25
Aksarka,80,RU,1551930744,81,66.56,67.8,11.24,3.29
Vila Franca do Campo,75,PT,1551930701,93,37.72,-25.43,60.8,6.93
Bambous Virieux,20,MU,1551930243,83,-20.34,57.76,80.01,2.24
Lagoa,0,PT,1551930730,93,37.14,-8.45,51.01,6.93
Khatanga,56,RU,1551930745,77,71.98,102.47,-0.78,12.01
Leningradskiy,80,RU,1551930647,100,69.38,178.42,8.68,4.85
Hare Bay,75,CA,1551930354,66,48.86,-53.99,15.8,10.29
Hirara,75,JP,1551927600,63,24.8,125.28,64.4,14.99
San Cristobal,75,EC,1551930452,93,-0.39,-78.55,59.0,5.82
Havelock,1,US,1551930683,86,34.88,-76.9,35.01,5.97
Dunedin,80,NZ,1551930469,68,-45.87,170.5,64.0,17.0
Isagarh,0,IN,1551930746,61,24.84,77.89,63.76,3.18
Micheweni,20,TZ,1551930746,100,-4.97,39.83,82.21,13.24
Guben,76,PL,1551930688,67,51.95,14.72,48.99,3.0
Monte Mor,0,BR,1551930548,88,-22.95,-47.31,73.99,6.93
Dovers,36,VC,1551930746,98,12.88,-61.18,78.97,20.18
Moerai,12,PF,1551930747,98,-22.43,-151.33,82.39,14.7
Taldan,0,RU,1551930747,55,53.69,124.82,32.57,3.74
Hay River,20,CA,1551927600,66,60.82,-115.79,12.2,8.05
Barpathar,64,IN,1551930747,94,26.3,93.87,61.33,2.95
Minsk,0,BY,1551927600,86,53.9,27.56,26.6,6.71
Pandharpur,0,IN,1551930747,55,17.68,75.33,64.7,7.87
Aitape,44,PG,1551930747,97,-3.15,142.36,82.21,2.17
Gusau,12,NG,1551930748,38,12.17,6.66,69.07,6.87
Lixourion,0,GR,1551930734,88,38.2,20.43,53.01,6.53
Dover,1,US,1551930713,41,39.16,-75.52,28.0,5.82
Auki,12,NG,1551930748,38,12.18,6.51,69.07,6.87
Zonguldak,88,TR,1551930748,99,41.25,31.83,43.15,6.31
Dolores,48,AR,1551930618,68,-36.31,-57.68,76.36,12.12
Muros,75,ES,1551930690,87,42.77,-9.06,51.01,6.93
Honiara,64,SB,1551930749,85,-9.43,159.96,81.35,3.18
Carahue,90,CL,1551927600,100,-38.71,-73.16,60.8,10.29
Mont-de-Marsan,92,FR,1551930731,87,43.89,-0.5,52.0,17.22
Brae,88,GB,1551927000,86,60.4,-1.35,41.0,25.28
Pacific Grove,90,US,1551930729,81,36.62,-121.92,55.4,14.99
Requena,0,ES,1551930602,58,39.49,-1.1,55.99,25.28
Tarnogskiy Gorodok,68,RU,1551930750,83,60.5,43.58,12.59,17.16
Tutoia,48,BR,1551930750,99,-2.76,-42.27,72.89,2.95
Sechura,80,PE,1551930750,76,-5.56,-80.82,78.16,7.76
Lasa,40,CY,1551929400,82,34.92,32.53,59.0,14.99
Isangel,75,VU,1551927600,66,-19.55,169.27,87.8,10.29
Udachnyy,80,RU,1551930750,66,66.42,112.4,15.2,9.89
Kruisfontein,68,ZA,1551930751,88,-34.0,24.73,66.77,17.72
Ust-Tsilma,0,RU,1551930751,80,65.44,52.15,3.32,5.3
Saldanha,20,PT,1551930751,96,41.42,-6.55,39.05,7.2
Gunjur,0,GM,1551930751,72,13.18,-16.76,70.37,13.91
Djambala,76,CG,1551930751,97,-2.55,14.76,67.9,8.55
Beloha,32,MG,1551930751,83,-25.17,45.06,74.2,10.45
Hualmay,56,PE,1551930751,91,-11.1,-77.61,68.53,4.18
Cap-aux-Meules,40,CA,1551927600,84,47.38,-61.86,5.0,8.05
Ulaangom,64,MN,1551930752,76,49.98,92.07,17.0,1.28
Marietta,1,US,1551930745,77,33.95,-84.55,35.6,2.73
Ferkessedougou,0,CI,1551930752,62,9.6,-5.2,67.45,2.62
Faanui,48,PF,1551930561,99,-16.48,-151.75,84.5,13.69
Dudinka,80,RU,1551930480,81,69.41,86.18,3.55,25.32
Praya,75,ID,1551927600,78,-8.71,116.27,82.4,3.36
Innisfail,40,CA,1551930316,84,52.02,-113.95,1.99,16.11
Karauli,0,IN,1551930753,47,26.5,77.03,60.74,5.3
Mao,40,DO,1551930662,83,19.55,-71.08,75.99,6.93
Tokur,36,RU,1551930753,53,53.13,132.9,21.37,3.18
Gobabis,92,NA,1551930753,84,-22.45,18.97,64.84,2.17
Ngerengere,24,TZ,1551930753,87,-6.76,38.13,73.97,2.39
Finschhafen,36,PG,1551930753,76,-6.6,147.85,82.3,3.06
De-Kastri,0,RU,1551930754,96,51.48,140.77,24.7,6.42
Bayir,0,TR,1551928800,93,37.27,28.22,48.0,3.36
Mitu,24,IR,1551930754,71,36.2,46.09,14.71,2.39
Kirkenes,44,NO,1551927000,84,69.73,30.05,6.8,11.41
Latehar,0,IN,1551930754,44,23.74,84.5,67.85,5.19
Kindu,92,CD,1551930754,97,-2.95,25.92,70.19,2.73
Lampazos de Naranjo,44,MX,1551930754,72,27.02,-100.51,42.92,3.62
Tautira,75,PF,1551929583,70,-17.73,-149.15,86.0,5.82
Bontang,88,ID,1551930755,100,0.12,117.47,78.16,6.64
Cockburn Town,8,TC,1551930617,98,21.46,-71.14,78.34,11.56
Anadyr,75,RU,1551930191,85,64.73,177.51,21.2,8.95
Limerick,40,IE,1551927600,80,52.66,-8.63,41.0,6.93
Rochefort,40,FR,1551930302,81,45.94,-0.97,48.2,14.99
Haines Junction,0,CA,1551930476,79,60.75,-137.51,-1.18,1.39
Galle,90,US,1551930738,93,29.74,-97.91,54.0,8.05
Lesnikovo,88,RU,1551930756,94,55.28,65.32,35.72,18.05
Vrangel,0,RU,1551930756,94,42.73,133.08,35.45,11.01
Antofagasta,20,CL,1551927600,77,-23.65,-70.4,66.2,6.93
Baruun-Urt,0,MN,1551930756,40,46.68,113.28,35.9,16.26
San Jeronimo,20,PE,1551930756,91,-13.65,-73.37,39.28,1.95
Kribi,92,CM,1551930672,100,2.94,9.91,75.01,2.17
Naduvattam,0,IN,1551930756,63,11.47,76.57,75.28,1.39
Lake Havasu City,40,US,1551930317,33,34.47,-114.34,72.0,11.41
Inuvik,75,CA,1551927600,60,68.36,-133.71,8.6,4.7
Padang,40,ID,1551927600,70,-0.92,100.36,87.8,4.7
Oriximina,76,BR,1551930757,78,-1.77,-55.87,80.72,4.74
Betera,0,ES,1551930626,58,39.58,-0.45,55.99,10.29
Bethel,90,US,1551927360,87,60.79,-161.76,32.0,8.05
Bubaque,0,GW,1551930757,87,11.28,-15.83,79.6,9.78
